System;ObjectContainer;Type;Name;Planetary X-Coord;Planetary Y-Coord;Planetary Z-Coord;Comment;Date
Stanton;Crusader;Outpost;Orison - Solanki Platform;5332.839;-778.582;5254.069;New;22.05.2022 19:26
Stanton;Crusader;Outpost;Orison - Brushwood Platform;5339.470;-764.057;5252.584;New;22.05.2022 22:05
Stanton;Crusader;Outpost;Orison - Hartmoore Platform;0;0;0;New;22.05.2022 22:05
Stanton;MicroTech;Outpost;Port Traessler;561.471;545.471;808.832;none;03.04.2022 12:52
#RACING
Stanton;Yela;Racing;Stanton7, Race1, Checkpoint2;37.672;225.806;213.592;none;unknown
Stanton;Yela;Racing;Stanton7, Race1, Checkpoint1;6.478;237.141;204.49;none;unknown
Stanton;Microtech;Racing;Stanton7, Race2, CP Calhoun;938.116;-347.818;31.708;none;unknown
Stanton;Clio;Racing;Stanton7, Race3, Start;107.412;-46.091;-316.36;none;03/28/2021 14:28:33
Stanton;Clio;Racing;Stanton7, Race3, CP1;79.821;-2.218;-327.656;none;03/28/2021 14:49:29
Stanton;Clio;Racing;Stanton7, Race3, CP2;107.78;-3.157;-319.623;none;unknown
Stanton;Clio;Racing;Stanton7, Race3, Finish;118.376;-30.453;-314.442;none;unknown
Stanton;Magda;Racing;HHL 2020 - Crater (old);-190.049;255.502;-122.296;none;10/14/2021 22:10:27 95° from HDMS Perlmann
Stanton;Magda;Racing;HHL 2021 - Civilian Crater;-159.244;274;-126.472;none;10/18/2021 00:32:14
Stanton;Clio;Racing;XGR (Snake Pit);-327.835;-78.887;-13,657;New;01.07.2022
Stanton;Hurston;Racing;New Vega - Hill Climb Mountain;-942.808;296.24;-160.163;none;05/26/2022 22:59:36
#WRECKS
Stanton;Daymar;Wreck;Javelin;102.055;267.619;-70.856;none;unknown
Stanton;Calliope;Derelict;Caterpillar Derelict (Calliope);199.393;-126.182;45.983;none;unknown
Stanton;Arial;Derelict;Caterpillar Derelict (Arial);21.290;-234.274; 252.404;none;unknown
Stanton;Aberdeen;Derelict;Caterpillar Derelict (Aberdeen);-160.520; 187.065; 122.157;none;unknown
Stanton;Magda;Derelict;Caterpillar Derelict (Magda #1);-171.923;-278.139;96.953;none;unknown
Stanton;Magda;Derelict;Caterpillar Derelict (Magda #2);-84.944;-284.415;168.126;none;unknown
Stanton;Ita;Derelict;Caterpillar Derelict (Ita);137.997; 211.437;204.970;none;unknown
Stanton;Lyria;Derelict;Caterpillar Derelict (Lyria #1);90.196;  60.433;196.272;none;unknown
Stanton;Lyria;Derelict;Caterpillar Derelict (Lyria #2);143.507; -71.508;156.466;none;unknown
Stanton;Wala;Derelict;Caterpillar Derelict (Wala #1);-281.801;  10.547;-22.472;none;unknown
Stanton;Wala;Derelict;Caterpillar Derelict (Wala #2);-164.031;  85.551;-213.830;none;unknown
Stanton;Cellin;Derelict;Caterpillar Derelict (Cellin);112.178;-163.730;169.625;none;unknown
Stanton;Yela;Derelict;Caterpillar Derelict (Yela);-29.543; 236.610;203.199;none;unknown
Stanton;MicroTech;Derelict;Reclaimer Derelict (Ghost Hollow);-127.193;982.004;149.145;New;01.07.2022
#USER SAVES
Stanton;MicroTech;CustomType;Unknown OC-10;520.723;419.364;743.655;New;01.07.2022
Stanton;Hurston;CustomType;Valalol;-553.467;-77.91;-828.317;none;unknown
Stanton;Microtech;CustomType;A place to visit;667.834;-103.257;737.113;none;unknown
Stanton;Yela;CustomType;Landing PAD, Mining Area 157;5.204;222.371;220.321;none;05/29/2022 22:10:57
Stanton;Crusader;CustomType;Orison - Brushwood (Orbital Drop);5375.347;-769.198;5287.881;none;22.05.2022 22:05
Stanton;Yela;CustomType;Asteroid;-132.065;534.890;0;none;13.05.2022 xx:xx
Stanton;Yela;CustomType;OC3 in the Belt;-132.065;534.89;0;none;30.01.2022 20:24
